recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score,RFM_Score_num,RFM_Level,cluster_labels
310,8,154,2,4,4,244,10,Low,2
317,16,318,2,3,3,233,8,Middle,2
294,32,904,1,2,1,121,4,Top,0
309,88,1313,2,1,1,211,4,Top,0
298,15,321,1,3,3,133,7,Middle,2
311,14,312,2,3,3,233,8,Middle,2
358,12,186,3,3,4,334,10,Low,3
372,17,420,4,3,2,432,9,Middle,3
323,10,178,3,4,4,344,11,Low,1
338,6,119,3,4,4,344,11,Low,1
301,20,1013,2,3,1,231,6,Middle,2
337,40,364,3,2,3,323,8,Middle,3
354,19,290,3,3,3,333,9,Middle,3
333,50,780,3,1,1,311,5,Top,3
365,26,165,4,2,4,424,10,Low,3
294,34,852,1,2,1,121,4,Top,0
325,33,1372,3,2,1,321,6,Middle,0
326,61,1199,3,1,1,311,5,Top,0
324,39,873,3,2,1,321,6,Middle,0
372,3,1835,4,4,1,441,9,Middle,3
368,34,673,4,2,2,422,8,Middle,3
290,31,574,1,2,2,122,5,Top,2
368,5,123,4,4,4,444,12,Low,1
289,696,12877,1,1,1,111,3,Top,0
354,16,289,3,3,3,333,9,Middle,3
326,1,165,3,4,4,344,11,Low,1
291,38,1159,1,2,1,121,4,Top,0
333,29,311,3,2,3,323,8,Middle,3
318,41,257,2,2,3,223,7,Middle,2
332,17,252,3,3,3,333,9,Middle,3
366,5,201,4,4,4,444,12,Low,1
373,5,115,4,4,4,444,12,Low,1
369,51,274,4,1,3,413,8,Middle,3
367,12,311,4,3,3,433,10,Low,3
296,157,619,1,1,2,112,4,Top,0
297,156,2418,1,1,1,111,3,Top,0
361,7,418,4,4,2,442,10,Low,3
372,16,326,4,3,3,433,10,Low,3
315,12,208,2,3,3,233,8,Middle,2
358,8,105,3,4,4,344,11,Low,1
297,36,754,1,2,2,122,5,Top,0
289,35,900,1,2,1,121,4,Top,0
323,136,2682,3,1,1,311,5,Top,0
365,1,230,4,4,3,443,11,Low,1
295,65,1019,1,1,1,111,3,Top,0
359,20,303,4,3,3,433,10,Low,3
360,19,338,4,3,3,433,10,Low,3
358,24,587,3,2,2,322,7,Middle,3
325,7,107,3,4,4,344,11,Low,1
289,6,94,1,4,4,144,9,Middle,2
301,43,252,2,2,3,223,7,Middle,2
305,11,165,2,4,4,244,10,Low,2
313,48,572,2,2,2,222,6,Middle,0
310,16,295,2,3,3,233,8,Middle,2
323,6,97,3,4,4,344,11,Low,1
369,86,411,4,1,2,412,7,Middle,3
320,51,437,3,1,2,312,6,Middle,2
330,9,155,3,4,4,344,11,Low,1
312,28,494,2,2,2,222,6,Middle,2
362,25,179,4,2,4,424,10,Low,3
359,26,243,4,2,3,423,9,Middle,3
354,58,216,3,1,3,313,7,Middle,3
338,157,1048,3,1,1,311,5,Top,0
292,34,2576,1,2,1,121,4,Top,0
358,8,723,3,4,2,342,9,Middle,3
336,43,1278,3,2,1,321,6,Middle,0
319,10,970,3,4,1,341,8,Middle,2
319,162,3504,3,1,1,311,5,Top,0
368,28,929,4,2,1,421,7,Middle,3
362,70,147,4,1,4,414,9,Middle,3
330,1,250,3,4,3,343,10,Low,1
359,6,101,4,4,4,444,12,Low,1
316,46,2414,2,2,1,221,5,Top,0
360,73,1884,4,1,1,411,6,Middle,3
318,65,630,2,1,2,212,5,Top,0
373,57,313,4,1,3,413,8,Middle,3
315,27,580,2,2,2,222,6,Middle,2
323,76,570,3,1,2,312,6,Middle,0
358,50,356,3,1,3,313,7,Middle,3
327,38,292,3,2,3,323,8,Middle,3
288,28,127,1,2,4,124,7,Middle,2
301,60,834,2,1,1,211,4,Top,0
371,31,135,4,2,4,424,10,Low,3
315,90,1006,2,1,1,211,4,Top,0
316,61,942,2,1,1,211,4,Top,0
301,12,137,2,3,4,234,9,Middle,2
361,95,989,4,1,1,411,6,Middle,3
351,1,134,3,4,4,344,11,Low,1
358,22,270,3,3,3,333,9,Middle,3
332,7,288,3,4,3,343,10,Low,1
302,158,1669,2,1,1,211,4,Top,0
358,159,590,3,1,2,312,6,Middle,3
305,4,29,2,4,4,244,10,Low,1
313,26,199,2,2,4,224,8,Middle,2
353,49,325,3,2,3,323,8,Middle,3
351,3,344,3,4,3,343,10,Low,1
310,12,184,2,3,4,234,9,Middle,2
326,42,777,3,2,1,321,6,Middle,0
295,222,3790,1,1,1,111,3,Top,0
312,12,404,2,3,2,232,7,Middle,2
289,19,377,1,3,3,133,7,Middle,2
288,29,914,1,2,1,121,4,Top,0
336,13,104,3,3,4,334,10,Low,1
334,3,104,3,4,4,344,11,Low,1
298,75,2435,1,1,1,111,3,Top,0
358,31,424,3,2,2,322,7,Middle,3
329,20,281,3,3,3,333,9,Middle,3
366,19,319,4,3,3,433,10,Low,3
299,140,4351,1,1,1,111,3,Top,0
359,20,308,4,3,3,433,10,Low,3
372,17,189,4,3,4,434,11,Low,3
336,2,816,3,4,1,341,8,Middle,1
309,24,576,2,2,2,222,6,Middle,2
365,10,209,4,4,3,443,11,Low,3
317,5,309,2,4,3,243,9,Middle,1
296,12,173,1,3,4,134,8,Middle,2
327,53,969,3,1,1,311,5,Top,0
366,30,478,4,2,2,422,8,Middle,3
289,62,1032,1,1,1,111,3,Top,0
361,6,103,4,4,4,444,12,Low,1
330,23,1245,3,3,1,331,7,Middle,3
315,48,777,2,2,1,221,5,Top,0
313,93,979,2,1,1,211,4,Top,0
366,9,171,4,4,4,444,12,Low,1
369,38,547,4,2,2,422,8,Middle,3
309,175,861,2,1,1,211,4,Top,0
290,11,324,1,4,3,143,8,Middle,2
364,41,203,4,2,4,424,10,Low,3
331,99,2091,3,1,1,311,5,Top,0
372,5,138,4,4,4,444,12,Low,1
312,36,951,2,2,1,221,5,Top,0
332,5,22998,3,4,1,341,8,Middle,0
366,19,340,4,3,3,433,10,Low,3
372,14,259,4,3,3,433,10,Low,3
304,1,79,2,4,4,244,10,Low,1
294,19,314,1,3,3,133,7,Middle,2
296,6,185,1,4,4,144,9,Middle,2
287,23,10189,1,3,1,131,5,Top,0
317,7,753,2,4,2,242,8,Middle,2
357,12,177,3,3,4,334,10,Low,3
305,5,83,2,4,4,244,10,Low,1
295,29,928,1,2,1,121,4,Top,0
358,25,351,3,2,3,323,8,Middle,3
302,19,343,2,3,3,233,8,Middle,2
304,6,1510,2,4,1,241,7,Middle,2
334,22,320,3,3,3,333,9,Middle,3
288,47,924,1,2,1,121,4,Top,0
306,208,3734,2,1,1,211,4,Top,0
302,13,198,2,3,4,234,9,Middle,2
296,26,377,1,2,3,123,6,Middle,2
297,49,897,1,2,1,121,4,Top,0
317,2,244,2,4,3,243,9,Middle,1
319,17,206,3,3,3,333,9,Middle,2
359,16,440,4,3,2,432,9,Middle,3
372,1,15,4,4,4,444,12,Low,1
303,35,544,2,2,2,222,6,Middle,2
324,17,309,3,3,3,333,9,Middle,2
330,15,301,3,3,3,333,9,Middle,3
310,5,1235,2,4,1,241,7,Middle,2
338,7,331,3,4,3,343,10,Low,1
303,8,118,2,4,4,244,10,Low,2
337,13,303,3,3,3,333,9,Middle,3
288,9,180,1,4,4,144,9,Middle,2
311,25,747,2,2,2,222,6,Middle,2
301,73,4360,2,1,1,211,4,Top,0
289,102,816,1,1,1,111,3,Top,0
368,15,102,4,3,4,434,11,Low,3
373,64,354,4,1,3,413,8,Middle,3
316,6,242,2,4,3,243,9,Middle,1
296,146,1070,1,1,1,111,3,Top,0
369,105,343,4,1,3,413,8,Middle,3
312,29,501,2,2,2,222,6,Middle,2
368,16,371,4,3,3,433,10,Low,3
309,1,15,2,4,4,244,10,Low,1
369,66,297,4,1,3,413,8,Middle,3
369,38,156,4,2,4,424,10,Low,3
367,64,521,4,1,2,412,7,Middle,3
368,4,56,4,4,4,444,12,Low,1
295,16,161,1,3,4,134,8,Middle,2
288,78,310,1,1,3,113,5,Top,0
330,46,575,3,2,2,322,7,Middle,3
368,49,270,4,2,3,423,9,Middle,3
373,11,369,4,4,3,443,11,Low,3
372,21,127,4,3,4,434,11,Low,3
289,16,317,1,3,3,133,7,Middle,2
323,5,74,3,4,4,344,11,Low,1
311,17,1116,2,3,1,231,6,Middle,2
311,1,35,2,4,4,244,10,Low,1
365,2,181,4,4,4,444,12,Low,1
359,29,428,4,2,2,422,8,Middle,3
331,25,412,3,2,2,322,7,Middle,3
372,20,572,4,3,2,432,9,Middle,3
367,16,156,4,3,4,434,11,Low,3
318,35,173,2,2,4,224,8,Middle,2
303,11,314,2,4,3,243,9,Middle,2
311,4,762,2,4,2,242,8,Middle,2
366,4,307,4,4,3,443,11,Low,1
288,32,769,1,2,2,122,5,Top,2
311,4,270,2,4,3,243,9,Middle,1
360,81,1148,4,1,1,411,6,Middle,3
289,30,335,1,2,3,123,6,Middle,2
368,9,113,4,4,4,444,12,Low,1
366,32,263,4,2,3,423,9,Middle,3
362,118,863,4,1,1,411,6,Middle,3
359,20,1181,4,3,1,431,8,Middle,3
362,24,110,4,2,4,424,10,Low,3
290,61,753,1,1,2,112,4,Top,0
301,19,7371,2,3,1,231,6,Middle,0
291,62,262,1,1,3,113,5,Top,2
366,69,382,4,1,2,412,7,Middle,3
296,59,1953,1,1,1,111,3,Top,0
302,3,320,2,4,3,243,9,Middle,2
291,57,19452,1,1,1,111,3,Top,0
309,29,331,2,2,3,223,7,Middle,2
305,179,1262,2,1,1,211,4,Top,0
332,9,153,3,4,4,344,11,Low,1
304,24,603,2,2,2,222,6,Middle,2
332,2,24,3,4,4,344,11,Low,1
317,17,307,2,3,3,233,8,Middle,2
290,43,664,1,2,2,122,5,Top,0
373,8,256,4,4,3,443,11,Low,3
327,49,263,3,2,3,323,8,Middle,3
364,7,247,4,4,3,443,11,Low,1
365,74,372,4,1,3,413,8,Middle,3
288,23,584,1,3,2,132,6,Middle,2
297,1,122,1,4,4,144,9,Middle,1
366,22,157,4,3,4,434,11,Low,3
360,17,337,4,3,3,433,10,Low,3
299,38,436,1,2,2,122,5,Top,2
320,28,181,3,2,4,324,9,Middle,2
288,13,278,1,3,3,133,7,Middle,2
298,19,852,1,3,1,131,5,Top,2
308,3,314,2,4,3,243,9,Middle,2
311,115,409,2,1,2,212,5,Top,0
333,10,136,3,4,4,344,11,Low,1
292,24,138,1,2,4,124,7,Middle,2
332,19,249,3,3,3,333,9,Middle,3
317,11,249,2,4,3,243,9,Middle,2
367,13,289,4,3,3,433,10,Low,3
296,22,891,1,3,1,131,5,Top,2
287,22,630,1,3,2,132,6,Middle,2
359,16,283,4,3,3,433,10,Low,3
371,7,124,4,4,4,444,12,Low,1
303,52,1212,2,1,1,211,4,Top,0
289,52,978,1,1,1,111,3,Top,0
296,1,76,1,4,4,144,9,Middle,1
372,22,393,4,3,2,432,9,Middle,3
354,10,215,3,4,3,343,10,Low,3
310,18,303,2,3,3,233,8,Middle,2
290,166,1315,1,1,1,111,3,Top,0
365,5,441,4,4,2,442,10,Low,3
319,8,403,3,4,2,342,9,Middle,2
294,4,825,1,4,1,141,6,Middle,2
372,20,307,4,3,3,433,10,Low,3
301,37,2019,2,2,1,221,5,Top,0
360,18,365,4,3,3,433,10,Low,3
372,11,170,4,4,4,444,12,Low,3
327,25,161,3,2,4,324,9,Middle,3
289,40,497,1,2,2,122,5,Top,2
309,42,8876,2,2,1,221,5,Top,0
373,28,471,4,2,2,422,8,Middle,3
367,12,166,4,3,4,434,11,Low,3
318,137,846,2,1,1,211,4,Top,0
329,9,326,3,4,3,343,10,Low,3
295,19,344,1,3,3,133,7,Middle,2
339,71,438,3,1,2,312,6,Middle,3
372,63,1056,4,1,1,411,6,Middle,3
373,14,226,4,3,3,433,10,Low,3
305,89,893,2,1,1,211,4,Top,0
294,121,2442,1,1,1,111,3,Top,0
353,54,1141,3,1,1,311,5,Top,3
358,16,133,3,3,4,334,10,Low,3
373,67,357,4,1,3,413,8,Middle,3
339,11,168,3,4,4,344,11,Low,1
367,16,378,4,3,2,432,9,Middle,3
333,35,827,3,2,1,321,6,Middle,3
294,38,594,1,2,2,122,5,Top,2
330,14,226,3,3,3,333,9,Middle,3
358,20,308,3,3,3,333,9,Middle,3
297,30,570,1,2,2,122,5,Top,2
313,43,426,2,2,2,222,6,Middle,2
315,101,1158,2,1,1,211,4,Top,0
305,11,122,2,4,4,244,10,Low,2
291,4,2508,1,4,1,141,6,Middle,2
290,9,53,1,4,4,144,9,Middle,2
333,22,376,3,3,3,333,9,Middle,3
332,8,153,3,4,4,344,11,Low,1
295,14,1295,1,3,1,131,5,Top,2
302,18,301,2,3,3,233,8,Middle,2
359,7,368,4,4,3,443,11,Low,3
362,37,170,4,2,4,424,10,Low,3
296,20,287,1,3,3,133,7,Middle,2
366,21,148,4,3,4,434,11,Low,3
322,4,94,3,4,4,344,11,Low,1
294,52,505,1,1,2,112,4,Top,0
289,26,312,1,2,3,123,6,Middle,2
323,60,450,3,1,2,312,6,Middle,0
294,19,665,1,3,2,132,6,Middle,2
369,57,211,4,1,3,413,8,Middle,3
312,10,177,2,4,4,244,10,Low,2
302,5,167,2,4,4,244,10,Low,2
297,22,338,1,3,3,133,7,Middle,2
317,48,271,2,2,3,223,7,Middle,2
369,21,131,4,3,4,434,11,Low,3
311,17,252,2,3,3,233,8,Middle,2
289,65,6267,1,1,1,111,3,Top,0
302,21,302,2,3,3,233,8,Middle,2
297,50,343,1,1,3,113,5,Top,2
299,26,401,1,2,2,122,5,Top,2
291,13,211,1,3,3,133,7,Middle,2
360,46,151,4,2,4,424,10,Low,3
361,30,531,4,2,2,422,8,Middle,3
306,62,1236,2,1,1,211,4,Top,0
304,20,393,2,3,2,232,7,Middle,2
292,17,111,1,3,4,134,8,Middle,2
358,39,216,3,2,3,323,8,Middle,3
336,8,149,3,4,4,344,11,Low,1
319,59,961,3,1,1,311,5,Top,0
329,6,127,3,4,4,344,11,Low,1
296,50,826,1,1,1,111,3,Top,0
316,41,736,2,2,2,222,6,Middle,0
318,27,512,2,2,2,222,6,Middle,2
360,19,365,4,3,3,433,10,Low,3
330,1,165,3,4,4,344,11,Low,1
330,51,841,3,1,1,311,5,Top,0
296,13,363,1,3,3,133,7,Middle,2
372,13,248,4,3,3,433,10,Low,3
311,31,320,2,2,3,223,7,Middle,2
365,5,103,4,4,4,444,12,Low,1
365,60,325,4,1,3,413,8,Middle,3
315,26,743,2,2,2,222,6,Middle,2
295,43,2734,1,2,1,121,4,Top,0
294,31,484,1,2,2,122,5,Top,2
338,1,1910,3,4,1,341,8,Middle,1
358,30,747,3,2,2,322,7,Middle,3
290,25,787,1,2,1,121,4,Top,2
334,33,119,3,2,4,324,9,Middle,3
368,48,554,4,2,2,422,8,Middle,3
336,11,311,3,4,3,343,10,Low,3
373,5,95,4,4,4,444,12,Low,1
304,24,1945,2,2,1,221,5,Top,0
331,1,0,3,4,4,344,11,Low,1
295,59,950,1,1,1,111,3,Top,0
302,79,1445,2,1,1,211,4,Top,0
358,20,332,3,3,3,333,9,Middle,3
364,3,173,4,4,4,444,12,Low,1
292,2,94,1,4,4,144,9,Middle,1
336,26,557,3,2,2,322,7,Middle,3
311,15,450,2,3,2,232,7,Middle,2
290,16,292,1,3,3,133,7,Middle,2
373,14,233,4,3,3,433,10,Low,3
327,1,69,3,4,4,344,11,Low,1
366,6,120,4,4,4,444,12,Low,1
338,9,125,3,4,4,344,11,Low,1
303,22,886,2,3,1,231,6,Middle,2
311,18,280,2,3,3,233,8,Middle,2
322,35,728,3,2,2,322,7,Middle,0
372,8,164,4,4,4,444,12,Low,1
290,44,741,1,2,2,122,5,Top,0
368,9,227,4,4,3,443,11,Low,3
331,39,812,3,2,1,321,6,Middle,3
291,15,1398,1,3,1,131,5,Top,2
368,8,123,4,4,4,444,12,Low,1
319,4,282,3,4,3,343,10,Low,1
362,9,135,4,4,4,444,12,Low,1
326,51,778,3,1,1,311,5,Top,0
337,29,464,3,2,2,322,7,Middle,3
366,3,129,4,4,4,444,12,Low,1
296,58,9811,1,1,1,111,3,Top,0
305,189,705,2,1,2,212,5,Top,0
289,1,8,1,4,4,144,9,Middle,1
297,79,1278,1,1,1,111,3,Top,0
298,25,1222,1,2,1,121,4,Top,0
311,58,3620,2,1,1,211,4,Top,0
360,75,524,4,1,2,412,7,Middle,3
302,3,598,2,4,2,242,8,Middle,2
294,137,1616,1,1,1,111,3,Top,0
317,92,1146,2,1,1,211,4,Top,0
311,1,734,2,4,2,242,8,Middle,2
366,15,307,4,3,3,433,10,Low,3
369,45,623,4,2,2,422,8,Middle,3
288,79,752,1,1,2,112,4,Top,0
288,56,1113,1,1,1,111,3,Top,0
302,151,781,2,1,1,211,4,Top,0
294,92,603,1,1,2,112,4,Top,0
364,46,272,4,2,3,423,9,Middle,3
319,14,187,3,3,4,334,10,Low,2
334,47,660,3,2,2,322,7,Middle,3
297,1,3,1,4,4,144,9,Middle,1
358,30,430,3,2,2,322,7,Middle,3
295,86,747,1,1,2,112,4,Top,0
292,106,1262,1,1,1,111,3,Top,0
309,19,609,2,3,2,232,7,Middle,2
372,9,207,4,4,3,443,11,Low,3
372,2,2002,4,4,1,441,9,Middle,3
315,16,316,2,3,3,233,8,Middle,2
318,7,106,2,4,4,244,10,Low,1
294,1,34,1,4,4,144,9,Middle,1
316,50,1866,2,1,1,211,4,Top,0
313,66,531,2,1,2,212,5,Top,0
310,105,951,2,1,1,211,4,Top,0
291,40,577,1,2,2,122,5,Top,2
304,82,2066,2,1,1,211,4,Top,0
372,17,311,4,3,3,433,10,Low,3
316,116,917,2,1,1,211,4,Top,0
332,53,255,3,1,3,313,7,Middle,3
365,66,414,4,1,2,412,7,Middle,3
360,55,214,4,1,3,413,8,Middle,3
360,15,479,4,3,2,432,9,Middle,3
294,103,2120,1,1,1,111,3,Top,0
313,20,325,2,3,3,233,8,Middle,2
359,15,367,4,3,3,433,10,Low,3
334,18,309,3,3,3,333,9,Middle,3
373,5,81,4,4,4,444,12,Low,1
288,14,392,1,3,2,132,6,Middle,2
295,46,2886,1,2,1,121,4,Top,0
302,30,520,2,2,2,222,6,Middle,2
290,47,1999,1,2,1,121,4,Top,0
333,19,332,3,3,3,333,9,Middle,3
368,10,375,4,4,3,443,11,Low,3
366,9,164,4,4,4,444,12,Low,1
364,68,2157,4,1,1,411,6,Middle,3
296,46,805,1,2,1,121,4,Top,0
317,1,9,2,4,4,244,10,Low,1
371,17,128,4,3,4,434,11,Low,3
357,30,190,3,2,4,324,9,Middle,3
336,48,523,3,2,2,322,7,Middle,3
371,69,232,4,1,3,413,8,Middle,3
366,45,145,4,2,4,424,10,Low,3
299,37,289,1,2,3,123,6,Middle,2
368,32,116,4,2,4,424,10,Low,3
360,16,170,4,3,4,434,11,Low,3
298,97,632,1,1,2,112,4,Top,0
371,10,254,4,4,3,443,11,Low,3
290,65,432,1,1,2,112,4,Top,0
290,32,757,1,2,2,122,5,Top,2
290,8,113,1,4,4,144,9,Middle,2
372,50,198,4,1,4,414,9,Middle,3
317,31,275,2,2,3,223,7,Middle,2
360,65,540,4,1,2,412,7,Middle,3
313,107,1226,2,1,1,211,4,Top,0
371,14,230,4,3,3,433,10,Low,3
361,2,218,4,4,3,443,11,Low,1
301,15,330,2,3,3,233,8,Middle,2
292,196,882,1,1,1,111,3,Top,0
308,14,267,2,3,3,233,8,Middle,2
289,83,757,1,1,2,112,4,Top,0
318,21,451,2,3,2,232,7,Middle,2
305,46,780,2,2,1,221,5,Top,0
325,5,69,3,4,4,344,11,Low,1
316,5,74,2,4,4,244,10,Low,1
367,3,172,4,4,4,444,12,Low,1
304,70,1053,2,1,1,211,4,Top,0
359,12,346,4,3,3,433,10,Low,3
336,15,354,3,3,3,333,9,Middle,3
297,11,347,1,4,3,143,8,Middle,2
291,78,732,1,1,2,112,4,Top,0
320,23,358,3,3,3,333,9,Middle,2
313,32,1273,2,2,1,221,5,Top,0
353,4,127,3,4,4,344,11,Low,1
288,12,702,1,3,2,132,6,Middle,2
304,1,90,2,4,4,244,10,Low,1
319,32,772,3,2,1,321,6,Middle,2
290,17,513,1,3,2,132,6,Middle,2
357,12,207,3,3,3,333,9,Middle,3
288,88,2885,1,1,1,111,3,Top,0
325,6,405,3,4,2,342,9,Middle,2
330,90,629,3,1,2,312,6,Middle,0
373,5,160,4,4,4,444,12,Low,1
369,3,33,4,4,4,444,12,Low,1
317,43,191,2,2,4,224,8,Middle,2
359,8,307,4,4,3,443,11,Low,3
311,18,259,2,3,3,233,8,Middle,2
360,17,304,4,3,3,433,10,Low,3
331,15,258,3,3,3,333,9,Middle,3
292,87,672,1,1,2,112,4,Top,0
369,117,722,4,1,2,412,7,Middle,3
313,70,538,2,1,2,212,5,Top,0
289,20,319,1,3,3,133,7,Middle,2
327,23,147,3,3,4,334,10,Low,3
312,69,855,2,1,1,211,4,Top,0
354,26,583,3,2,2,322,7,Middle,3
309,17,308,2,3,3,233,8,Middle,2
290,46,562,1,2,2,122,5,Top,0
364,7,151,4,4,4,444,12,Low,1
318,24,636,2,2,2,222,6,Middle,2
295,34,996,1,2,1,121,4,Top,0
299,115,974,1,1,1,111,3,Top,0
288,13,462,1,3,2,132,6,Middle,2
324,50,888,3,1,1,311,5,Top,0
322,14,302,3,3,3,333,9,Middle,2
299,34,543,1,2,2,122,5,Top,2
306,38,319,2,2,3,223,7,Middle,2
297,48,270,1,2,3,123,6,Middle,2
288,9,116,1,4,4,144,9,Middle,2
317,10,157,2,4,4,244,10,Low,1
299,124,515,1,1,2,112,4,Top,0
334,14,157,3,3,4,334,10,Low,1
289,21,500,1,3,2,132,6,Middle,2
288,131,2639,1,1,1,111,3,Top,0
358,16,298,3,3,3,333,9,Middle,3
311,18,409,2,3,2,232,7,Middle,2
360,25,413,4,2,2,422,8,Middle,3
305,29,424,2,2,2,222,6,Middle,2
289,16,224,1,3,3,133,7,Middle,2
296,27,519,1,2,2,122,5,Top,2
361,20,243,4,3,3,433,10,Low,3
316,54,247,2,1,3,213,6,Middle,2
373,2,155,4,4,4,444,12,Low,1
315,36,1424,2,2,1,221,5,Top,0
359,38,227,4,2,3,423,9,Middle,3
368,72,510,4,1,2,412,7,Middle,3
360,28,252,4,2,3,423,9,Middle,3
365,77,521,4,1,2,412,7,Middle,3
353,75,779,3,1,1,311,5,Top,3
316,49,936,2,2,1,221,5,Top,0
292,46,453,1,2,2,122,5,Top,2
334,119,775,3,1,1,311,5,Top,0
312,69,637,2,1,2,212,5,Top,0
310,49,426,2,2,2,222,6,Middle,2
308,21,393,2,3,2,232,7,Middle,2
368,10,142,4,4,4,444,12,Low,1
311,48,479,2,2,2,222,6,Middle,2
310,57,3435,2,1,1,211,4,Top,0
298,125,715,1,1,2,112,4,Top,0
372,10,341,4,4,3,443,11,Low,3
299,38,445,1,2,2,122,5,Top,2
322,86,508,3,1,2,312,6,Middle,0
312,15,382,2,3,2,232,7,Middle,2
302,78,1549,2,1,1,211,4,Top,0
362,39,283,4,2,3,423,9,Middle,3
299,38,112,1,2,4,124,7,Middle,2
312,12,127,2,3,4,234,9,Middle,2
368,87,381,4,1,2,412,7,Middle,3
366,2,268,4,4,3,443,11,Low,1
322,52,717,3,1,2,312,6,Middle,0
299,84,741,1,1,2,112,4,Top,0
336,131,716,3,1,2,312,6,Middle,0
367,22,222,4,3,3,433,10,Low,3
295,15,290,1,3,3,133,7,Middle,2
308,1,550,2,4,2,242,8,Middle,1
308,25,469,2,2,2,222,6,Middle,2
305,11,182,2,4,4,244,10,Low,2
361,53,250,4,1,3,413,8,Middle,3
296,13,1674,1,3,1,131,5,Top,2
316,24,556,2,2,2,222,6,Middle,2
311,26,566,2,2,2,222,6,Middle,2
290,86,1069,1,1,1,111,3,Top,0
368,22,450,4,3,2,432,9,Middle,3
292,32,141,1,2,4,124,7,Middle,2
331,17,702,3,3,2,332,8,Middle,3
315,16,243,2,3,3,233,8,Middle,2
302,11,307,2,4,3,243,9,Middle,2
310,259,1026,2,1,1,211,4,Top,0
291,242,2656,1,1,1,111,3,Top,0
365,4,60,4,4,4,444,12,Low,1
354,136,4360,3,1,1,311,5,Top,0
366,161,513,4,1,2,412,7,Middle,3
355,17,193,3,3,4,334,10,Low,3
298,67,353,1,1,3,113,5,Top,0
297,36,160,1,2,4,124,7,Middle,2
311,19,178,2,3,4,234,9,Middle,2
303,59,365,2,1,3,213,6,Middle,2
291,1,45,1,4,4,144,9,Middle,1
309,12,150,2,3,4,234,9,Middle,2
288,116,940,1,1,1,111,3,Top,0
332,79,742,3,1,2,312,6,Middle,0
330,25,694,3,2,2,322,7,Middle,3
361,8,97,4,4,4,444,12,Low,1
317,95,533,2,1,2,212,5,Top,0
312,17,145,2,3,4,234,9,Middle,2
312,43,286,2,2,3,223,7,Middle,2
311,13,105,2,3,4,234,9,Middle,2
288,82,1133,1,1,1,111,3,Top,0
295,27,7179,1,2,1,121,4,Top,0
294,16,774,1,3,1,131,5,Top,2
306,62,457,2,1,2,212,5,Top,0
371,3,397,4,4,2,442,10,Low,1
353,37,424,3,2,2,322,7,Middle,3
329,27,571,3,2,2,322,7,Middle,3
333,113,2200,3,1,1,311,5,Top,0
303,29,589,2,2,2,222,6,Middle,2
323,12,167,3,3,4,334,10,Low,1
295,51,1037,1,1,1,111,3,Top,0
373,7,130,4,4,4,444,12,Low,1
296,17,321,1,3,3,133,7,Middle,2
289,73,3110,1,1,1,111,3,Top,0
365,5,112,4,4,4,444,12,Low,1
313,43,403,2,2,2,222,6,Middle,2
290,28,440,1,2,2,122,5,Top,2
310,5,68,2,4,4,244,10,Low,1
359,73,684,4,1,2,412,7,Middle,3
332,74,20649,3,1,1,311,5,Top,0
299,38,298,1,2,3,123,6,Middle,2
365,17,249,4,3,3,433,10,Low,3
308,8,717,2,4,2,242,8,Middle,2
318,8,203,2,4,4,244,10,Low,1
313,94,709,2,1,2,212,5,Top,0
367,11,178,4,4,4,444,12,Low,3
288,121,451,1,1,2,112,4,Top,0
325,13,632,3,3,2,332,8,Middle,2
358,10,271,3,4,3,343,10,Low,3
289,40,622,1,2,2,122,5,Top,0
289,36,787,1,2,1,121,4,Top,0
309,45,340,2,2,3,223,7,Middle,2
290,214,18356,1,1,1,111,3,Top,0
290,30,651,1,2,2,122,5,Top,2
318,31,231,2,2,3,223,7,Middle,2
308,11,153,2,4,4,244,10,Low,2
368,18,335,4,3,3,433,10,Low,3
361,6,145,4,4,4,444,12,Low,1
359,9,422,4,4,2,442,10,Low,3
290,10,872,1,4,1,141,6,Middle,2
297,135,645,1,1,2,112,4,Top,0
303,61,630,2,1,2,212,5,Top,0
316,8,268,2,4,3,243,9,Middle,2
359,43,306,4,2,3,423,9,Middle,3
372,13,298,4,3,3,433,10,Low,3
334,49,195,3,2,4,324,9,Middle,3
310,4,162,2,4,4,244,10,Low,1
296,51,942,1,1,1,111,3,Top,0
332,29,344,3,2,3,323,8,Middle,3
298,44,284,1,2,3,123,6,Middle,2
373,4,70,4,4,4,444,12,Low,1
295,65,588,1,1,2,112,4,Top,0
312,44,168,2,2,4,224,8,Middle,2
329,60,1235,3,1,1,311,5,Top,0
338,28,417,3,2,2,322,7,Middle,3
298,118,867,1,1,1,111,3,Top,0
352,26,662,3,2,2,322,7,Middle,3
368,60,392,4,1,2,412,7,Middle,3
324,103,767,3,1,2,312,6,Middle,0
312,27,136,2,2,4,224,8,Middle,2
302,119,537,2,1,2,212,5,Top,0
320,193,1063,3,1,1,311,5,Top,0
297,18,305,1,3,3,133,7,Middle,2
288,56,897,1,1,1,111,3,Top,0
367,1,326,4,4,3,443,11,Low,1
362,53,320,4,1,3,413,8,Middle,3
312,77,218,2,1,3,213,6,Middle,2
312,15,901,2,3,1,231,6,Middle,2
359,11,238,4,4,3,443,11,Low,3
337,74,785,3,1,1,311,5,Top,0
373,8,101,4,4,4,444,12,Low,1
365,9,251,4,4,3,443,11,Low,3
